,mc2,r2,n_features_selected,perc_reduction_features,feature,coeff,feature_importance
207,Fish,0.8523385821199098,14,0.0,oos_rate,26223.399595794846,26223.399595794846
208,Reptile & Amphibians,0.9481254873191983,7,50.0,oos_rate,-4507.63063236935,4507.63063236935
209,Pet Bird,0.9477105297409166,8,42.85714285714286,oos_rate,0.0,0.0
210,Small Pet,0.9857534746963389,5,64.28571428571428,oos_rate,-45797.27045349151,45797.27045349151
211,Wild Bird,0.8818545055591201,7,50.0,oos_rate,-194206.0840510942,194206.0840510942
212,Perishable,0.8004946407366003,7,50.0,oos_rate,-52103.799079511715,52103.799079511715
213,Equine,0.9775651941524515,8,42.85714285714286,oos_rate,49505.48740296826,49505.48740296826
214,Chicken & Farm,0.24042276955896758,1,92.85714285714286,oos_rate,0.0,0.0
215,Personalized,0.9534351679012671,4,71.42857142857143,oos_rate,0.0,0.0
216,Core Treats,0.9474519275439929,5,64.28571428571428,conv_order_mc2_rate,8589728.587769112,8589728.587769112
217,Core Food,0.9404157188825747,4,71.42857142857143,conv_order_mc2_rate,43406488.889735706,43406488.889735706
218,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,conv_order_mc2_rate,1208702.2099056062,1208702.2099056062
219,Premium,0.990197135081476,11,21.42857142857143,conv_order_mc2_rate,4988254.598400079,4988254.598400079
220,Health & Wellness,0.982506502020755,7,50.0,conv_order_mc2_rate,5248189.977403929,5248189.977403929
221,Toys,0.9846228539613054,5,64.28571428571428,conv_order_mc2_rate,2045695.1192684742,2045695.1192684742
222,Containment & Gear,0.958323155055493,7,50.0,conv_order_mc2_rate,1877732.6953984841,1877732.6953984841
223,Beds & Furniture,0.9818795155979155,6,57.14285714285714,conv_order_mc2_rate,2084323.6265872512,2084323.6265872512
224,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,conv_order_mc2_rate,1623956.644549845,1623956.644549845
225,Grooming & Waste Management,0.9365487887316618,7,50.0,conv_order_mc2_rate,2226545.5466751317,2226545.5466751317
226,Technology,0.941962838924514,10,28.57142857142857,conv_order_mc2_rate,856458.3463024385,856458.3463024385
227,Litter,0.9540921226254634,4,71.42857142857143,conv_order_mc2_rate,5149949.936483816,5149949.936483816
228,Over the Counter,0.934570139349339,7,50.0,conv_order_mc2_rate,400216.4936616718,400216.4936616718
229,Apparel & People Products,0.9840368683869404,10,28.57142857142857,conv_order_mc2_rate,102625.7627828275,102625.7627828275
230,Flea & Tick,0.9424654613516299,6,57.14285714285714,conv_order_mc2_rate,2629076.8210087796,2629076.8210087796
231,Fish,0.8523385821199098,14,0.0,conv_order_mc2_rate,33967.80469521521,33967.80469521521
232,Reptile & Amphibians,0.9481254873191983,7,50.0,conv_order_mc2_rate,179185.3682487046,179185.3682487046
233,Pet Bird,0.9477105297409166,8,42.85714285714286,conv_order_mc2_rate,533899.8526358986,533899.8526358986
234,Small Pet,0.9857534746963389,5,64.28571428571428,conv_order_mc2_rate,1156770.964225247,1156770.964225247
235,Wild Bird,0.8818545055591201,7,50.0,conv_order_mc2_rate,48672.647664855365,48672.647664855365
236,Perishable,0.8004946407366003,7,50.0,conv_order_mc2_rate,0.0,0.0
237,Equine,0.9775651941524515,8,42.85714285714286,conv_order_mc2_rate,239420.70486299778,239420.70486299778
238,Chicken & Farm,0.24042276955896758,1,92.85714285714286,conv_order_mc2_rate,-0.0,0.0
239,Personalized,0.9534351679012671,4,71.42857142857143,conv_order_mc2_rate,0.0,0.0
240,Core Treats,0.9474519275439929,5,64.28571428571428,total_visits_mc2,465209.57471498044,465209.57471498044
241,Core Food,0.9404157188825747,4,71.42857142857143,total_visits_mc2,8949483.177536825,8949483.177536825
242,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,total_visits_mc2,0.0,0.0
243,Premium,0.990197135081476,11,21.42857142857143,total_visits_mc2,0.0,0.0
244,Health & Wellness,0.982506502020755,7,50.0,total_visits_mc2,522347.05613712757,522347.05613712757
245,Toys,0.9846228539613054,5,64.28571428571428,total_visits_mc2,1947225.7767096616,1947225.7767096616
246,Containment & Gear,0.958323155055493,7,50.0,total_visits_mc2,1151239.0616081185,1151239.0616081185
247,Beds & Furniture,0.9818795155979155,6,57.14285714285714,total_visits_mc2,1674863.8277596268,1674863.8277596268
248,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,total_visits_mc2,488732.20201876963,488732.20201876963
249,Grooming & Waste Management,0.9365487887316618,7,50.0,total_visits_mc2,354375.60096637317,354375.60096637317
250,Technology,0.941962838924514,10,28.57142857142857,total_visits_mc2,307735.1774091152,307735.1774091152
251,Litter,0.9540921226254634,4,71.42857142857143,total_visits_mc2,745161.2522497983,745161.2522497983
252,Over the Counter,0.934570139349339,7,50.0,total_visits_mc2,0.0,0.0
253,Apparel & People Products,0.9840368683869404,10,28.57142857142857,total_visits_mc2,1190263.0259258067,1190263.0259258067
254,Flea & Tick,0.9424654613516299,6,57.14285714285714,total_visits_mc2,809551.6187058745,809551.6187058745
255,Fish,0.8523385821199098,14,0.0,total_visits_mc2,28954.769957655008,28954.769957655008
256,Reptile & Amphibians,0.9481254873191983,7,50.0,total_visits_mc2,94151.7983852283,94151.7983852283
257,Pet Bird,0.9477105297409166,8,42.85714285714286,total_visits_mc2,1822.0981360824478,1822.0981360824478
258,Small Pet,0.9857534746963389,5,64.28571428571428,total_visits_mc2,565.4962390331841,565.4962390331841
259,Wild Bird,0.8818545055591201,7,50.0,total_visits_mc2,0.0,0.0
260,Perishable,0.8004946407366003,7,50.0,total_visits_mc2,84416.42586609971,84416.42586609971
261,Equine,0.9775651941524515,8,42.85714285714286,total_visits_mc2,191111.77520357544,191111.77520357544
262,Chicken & Farm,0.24042276955896758,1,92.85714285714286,total_visits_mc2,0.0,0.0
263,Personalized,0.9534351679012671,4,71.42857142857143,total_visits_mc2,224666.6178877873,224666.6178877873
264,Core Treats,0.9474519275439929,5,64.28571428571428,total_visits_all,0.0,0.0
265,Core Food,0.9404157188825747,4,71.42857142857143,total_visits_all,0.0,0.0
266,Prescription Food & Treats,0.8608952640487085,5,64.28571428571428,total_visits_all,-0.0,0.0
267,Premium,0.990197135081476,11,21.42857142857143,total_visits_all,-681084.6191850584,681084.6191850584
268,Health & Wellness,0.982506502020755,7,50.0,total_visits_all,-0.0,0.0
269,Toys,0.9846228539613054,5,64.28571428571428,total_visits_all,0.0,0.0
270,Containment & Gear,0.958323155055493,7,50.0,total_visits_all,0.0,0.0
271,Beds & Furniture,0.9818795155979155,6,57.14285714285714,total_visits_all,0.0,0.0
272,"Leashes, Collars & Bowls",0.9275895823292332,7,50.0,total_visits_all,-0.0,0.0
273,Grooming & Waste Management,0.9365487887316618,7,50.0,total_visits_all,-0.0,0.0
274,Technology,0.941962838924514,10,28.57142857142857,total_visits_all,-0.0,0.0
275,Litter,0.9540921226254634,4,71.42857142857143,total_visits_all,0.0,0.0
276,Over the Counter,0.934570139349339,7,50.0,total_visits_all,0.0,0.0
277,Apparel & People Products,0.9840368683869404,10,28.57142857142857,total_visits_all,-103096.95848634098,103096.95848634098
278,Flea & Tick,0.9424654613516299,6,57.14285714285714,total_visits_all,-0.0,0.0
279,Fish,0.8523385821199098,14,0.0,total_visits_all,32454.179443566707,32454.179443566707
280,Reptile & Amphibians,0.9481254873191983,7,50.0,total_visits_all,-0.0,0.0
281,Pet Bird,0.9477105297409166,8,42.85714285714286,total_visits_all,62123.661556844534,62123.661556844534
282,Small Pet,0.9857534746963389,5,64.28571428571428,total_visits_all,-0.0,0.0
283,Wild Bird,0.8818545055591201,7,50.0,total_visits_all,0.0,0.0
284,Perishable,0.8004946407366003,7,50.0,total_visits_all,0.0,0.0
285,Equine,0.9775651941524515,8,42.85714285714286,total_visits_all,-0.0,0.0
286,Chicken & Farm,0.24042276955896758,1,92.85714285714286,total_visits_all,-0.0,0.0
287,Personalized,0.9534351679012671,4,71.42857142857143,total_visits_all,0.0,0.0
